,区/县,区域,小区,总价,单价,房屋户型,楼层,总面积,户型结构,套内面积,建筑类型,朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,s,交易权属,u,形式,是否满五,产权形式,是否有房本,小区均价,小区建成,style,总栋数,总楼层
261,朝阳,望京,望京新城,440.0,60092.9,1室1厅1卫,高楼层,73.22,平层,73.22㎡,塔楼,西南,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43615,商品房,41828,普通住宅,满五年,非共有,已上传房本照片,58967,1997,塔楼/板楼/塔板结合/平房,26,30
262,房山,窦店,沁馥家园,148.0,16519.7,2室1厅1卫,高楼层,89.59,平层,79.61㎡,板楼,南北,混合结构,简装,10列无数据,11列无数据,未知,13列无数据,43789,商品房,39108,普通住宅,满五年,非共有,已上传房本照片,17031,2004,板楼,14,6
263,朝阳,甘露园,甘露园南里,288.0,51677.7,2室1厅1卫,高楼层,55.73,平层,无信息,板楼,东南,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43734,已购公房,40968,普通住宅,满五年,非共有,已上传房本照片,53225,1990,塔楼/板楼/塔板结合,40,6
264,东城,左安门,左安浦园,799.0,69769.5,3室1厅1卫,中楼层,114.52,平层,95.4㎡,板塔结合,南北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43550,二类经济适用房,38527,普通住宅,满五年,非共有,已上传房本照片,74817,2004,板楼/塔板结合,5,16
265,昌平,北七家,八仙别墅仙霞东里,415.0,28833.5,3室2厅2卫,中楼层,143.93,南北,㎡,简装,南北,混合结构,简装,10列无数据,11列无数据,12列无数据,13列无数据,43761,商品房,41330,别墅,满五年,非共有,已上传房本照片,37279,1994,板楼,203,5
266,丰台,看丹桥,新华街三里,338.0,53228.3,2室1厅1卫,低楼层,63.5,平层,无信息,塔楼,南西南,钢混结构,精装,10列无数据,11列无数据,70年,13列无数据,43688,商品房,42165,普通住宅,满两年,非共有,已上传房本照片,50863,1997,塔楼/板楼/塔板结合,10,24
267,丰台,宋家庄,日新家园,365.0,42575.5,2室1厅1卫,高楼层,85.73,平层,无信息,塔楼,南,钢混结构,精装,10列无数据,11列无数据,70年,13列无数据,43778,一类经济适用房,38786,普通住宅,满五年,非共有,已上传房本照片,44472,1997,塔楼/板楼,4,14
268,朝阳,东大桥,东大桥东里,298.0,66517.9,2室1厅1卫,地下室,44.8,平层,无信息,板楼,南,砖混结构,简装,10列无数据,70年,12列无数据,13列无数据,43341,已购公房,36279,普通住宅,满五年,非共有,已上传房本照片,72634,1978,塔楼/板楼,9,6
269,朝阳,东坝,东泽园,340.0,48213.3,2室1厅1卫,中楼层,70.52,平层,53.89㎡,板塔结合,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43793,限价商品房,41340,普通住宅,满五年,共有,已上传房本照片,47859,2011,板楼/塔板结合/平房,6,21
270,朝阳,常营,住欣家园,275.0,41130.7,2室1厅1卫,高楼层,66.86,平层,55.96㎡,塔楼,南,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43790,一类经济适用房,40689,普通住宅,满五年,非共有,已上传房本照片,43853,1994,塔楼/板楼/塔板结合,15,28
271,朝阳,双桥,艺水芳园,555.0,41573.0,3室2厅2卫,中楼层,133.5,平层,113.37㎡,板楼,南北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43582,商品房,40460,普通住宅,满五年,非共有,已上传房本照片,45039,2005,塔楼/板楼/塔板结合,12,10
272,石景山,八角,石景嘉园,230.0,35614.7,2室1厅1卫,中楼层,64.58,平层,50.54㎡,塔楼,西南,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43782,一类经济适用房,41199,普通住宅,满五年,非共有,已上传房本照片,39492,2010,塔楼,5,21
273,石景山,鲁谷,远洋山水,590.0,60662.1,2室1厅1卫,低楼层,97.26,平层,78.24㎡,板塔结合,南,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43805,商品房,39979,普通住宅,满五年,非共有,已上传房本照片,64993,2003,塔楼/板楼/塔板结合,31,18
274,昌平,北七家,温泉花园A区,222.0,35674.1,2室1厅1卫,高楼层,62.23,平层,无信息,板楼,南,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43751,商品房,42017,普通住宅,满五年,非共有,已上传房本照片,29341,1992,板楼,28,5
275,朝阳,大望路,金港国际,1058.0,77001.5,3室1厅2卫,低楼层,137.4,平层,118.6㎡,板楼,南北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43803,商品房,39115,普通住宅,满五年,非共有,已上传房本照片,73714,2003,塔楼/板楼/塔板结合,12,18
276,顺义,顺义其它,水色时光四区,242.0,23554.6,2室1厅1卫,中楼层,102.74,平层,83.94㎡,板楼,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43594,商品房,42276,普通住宅,满两年,非共有,已上传房本照片,25494,2012,板楼,23,11
277,亦庄开发区,亦庄,国融国际,119.0,27849.3,1室0厅1卫,高楼层,42.73,平层,30.39㎡,塔楼,东,钢混结构,简装,10列无数据,11列无数据,12列无数据,50年,43292,私产,39993,公寓,满五年,非共有,已上传房本照片,29506,1999,塔楼,3,23
278,朝阳,朝青,华纺易城,805.0,63490.8,3室2厅2卫,低楼层,126.79,平层,102.46㎡,板塔结合,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43779,商品房,39492,普通住宅,满五年,非共有,已上传房本照片,68198,2005,板楼/塔板结合,17,18
279,房山,长阳,长阳半岛1号院,325.0,36714.9,2室1厅1卫,高楼层,88.52,平层,67.6㎡,塔楼,西南,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43695,商品房,42893,普通住宅,满两年,非共有,已上传房本照片,40435,2012,塔楼/塔板结合,7,21
280,东城,永定门,华龙美晟,680.0,59717.2,3室1厅2卫,低楼层,113.87,平层,93.48㎡,板塔结合,南北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43819,商品房,42776,普通住宅,满两年,非共有,已上传房本照片,72092,2009,塔楼/塔板结合,5,12
281,大兴,枣园,首开康乃馨城,256.0,34029.0,2室1厅1卫,中楼层,75.23,平层,62.96㎡,板楼,南北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43772,限价商品房,41618,普通住宅,满五年,非共有,已上传房本照片,35245,2012,板楼,25,9
282,丰台,马家堡,嘉园一里,325.0,45416.4,2室1厅1卫,低楼层,71.56,平层,无信息,板塔结合,东南北,钢混结构,精装,10列无数据,11列无数据,70年,13列无数据,43543,商品房,42108,普通住宅,满两年,非共有,已上传房本照片,56530,1992,塔楼/塔板结合,12,18
283,海淀,定慧寺,定慧北里,580.0,69854.3,2室1厅1卫,中楼层,83.03,平层,72㎡,板塔结合,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43705,已购公房,43728,普通住宅,暂无数据,共有,已上传房本照片,74174,1994,板楼/塔板结合,20,12
284,丰台,角门,角门12号院,388.0,48031.7,2室1厅1卫,低楼层,80.78,平层,54.66㎡,板塔结合,东北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43686,已购公房,43682,普通住宅,暂无数据,非共有,已上传房本照片,47342,1999,塔板结合,2,15
285,东城,崇文门,新怡家园,1880.0,133846.0,2室2厅2卫,中楼层,140.46,平层,114.75㎡,板楼,南北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43815,商品房,43783,普通住宅,暂无数据,非共有,已上传房本照片,121193,2004,板楼,8,11
286,昌平,西关环岛,建明里小区,222.0,36932.3,2室1厅1卫,高楼层,60.11,平层,无信息,板楼,南北,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43716,商品房,39355,普通住宅,满五年,非共有,已上传房本照片,33330,1981,板楼/塔板结合,34,5
287,通州,通州北苑,西马庄园,290.0,33375.5,2室1厅1卫,高楼层,86.89,平层,75.19㎡,板楼,南北,混合结构,简装,10列无数据,11列无数据,70年,13列无数据,43807,商品房,40135,普通住宅,满五年,非共有,已上传房本照片,34164,1994,板楼,57,6
288,丰台,木樨园,马公庄,338.0,44010.4,2室1厅1卫,低楼层,76.8,平层,无信息,板楼,东南,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43648,商品房,41970,普通住宅,满五年,非共有,已上传房本照片,51378,1980,板楼,8,6
289,朝阳,望京,利泽西园,575.0,58174.8,2室2厅1卫,高楼层,98.84,平层,78.12㎡,塔楼,东,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43805,商品房,37847,普通住宅,满五年,非共有,已上传房本照片,63741,1998,塔楼/板楼,18,24
290,石景山,苹果园,金顶街五区,407.0,42448.9,2室1厅1卫,低楼层,95.88,平层,75.88㎡,塔楼,南,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43653,二类经济适用房,40611,普通住宅,满五年,非共有,已上传房本照片,43885,2003,塔楼,10,24
291,房山,韩村河,大自然新城雅苑,139.0,14090.2,2室1厅1卫,高楼层,98.65,平层,88.19㎡,板楼,南北,混合结构,精装,10列无数据,11列无数据,70年,13列无数据,43647,商品房,42425,普通住宅,满两年,共有,已上传房本照片,16688,2003,板楼,32,6
292,丰台,马家堡,马家堡西里,350.0,47892.7,2室1厅1卫,中楼层,73.08,平层,50.41㎡,板塔结合,南北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43343,已购公房,43124,普通住宅,满两年,非共有,已上传房本照片,54199,1985,塔楼/板楼/塔板结合,48,14
293,朝阳,常营,长楹天街,1098.0,62450.2,3室2厅3卫,高楼层,175.82,平层,148.4㎡,板楼,南北,钢混结构,毛坯,10列无数据,11列无数据,12列无数据,70年,43840,商品房,43350,普通住宅,暂无数据,非共有,已上传房本照片,65926,2012,塔楼/板楼,8,18
294,朝阳,潘家园,潘家园小区,378.0,52536.5,2室1厅1卫,低楼层,71.95,平层,无信息,板楼,东,钢混结构,简装,10列无数据,11列无数据,70年,13列无数据,43814,已购公房,38139,普通住宅,满五年,非共有,已上传房本照片,55622,1980,塔楼/板楼/塔板结合,32,12
295,丰台,刘家窑,宋家庄家园,280.0,40485.8,2室1厅1卫,低楼层,69.16,平层,58.03㎡,塔楼,西南,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43586,一类经济适用房,40750,普通住宅,满五年,非共有,已上传房本照片,49323,2010,塔楼,13,29
296,门头沟,冯村,丽景长安,365.0,44076.8,2室1厅1卫,中楼层,82.81,平层,68.32㎡,板楼,南,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43720,商品房,42781,普通住宅,满两年,非共有,已上传房本照片,43689,2012,塔楼/板楼,14,11
297,大兴,天宫院,金融街融汇,292.0,37794.5,2室1厅1卫,中楼层,77.26,平层,58.91㎡,板楼,南,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43665,商品房,42698,普通住宅,满两年,共有,已上传房本照片,42634,2014,塔楼/板楼/塔板结合/平房,17,26
298,房山,长阳,碧桂园小区二区,245.0,27307.2,2室1厅1卫,中楼层,89.72,平层,80.5㎡,板楼,南北,混合结构,精装,10列无数据,11列无数据,70年,13列无数据,43754,商品房,42004,普通住宅,满五年,非共有,已上传房本照片,27386,2004,板楼,13,6
299,房山,韩村河,韩村河西小区,138.0,16715.1,2室1厅1卫,低楼层,82.56,平层,72.41㎡,板楼,南北,混合结构,简装,10列无数据,11列无数据,70年,13列无数据,43736,商品房,39254,普通住宅,满五年,非共有,已上传房本照片,14646,1990,板楼,8,6
300,房山,长阳,加州水郡三期,269.0,29560.4,2室1厅1卫,高楼层,91,平层,75.5㎡,板塔结合,南,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43513,商品房,41304,普通住宅,满五年,非共有,已上传房本照片,31152,2007,塔楼/板楼/塔板结合,54,15
301,朝阳,石佛营,八里庄北里小区,290.0,38183.0,2室1厅1卫,高楼层,75.95,平层,无信息,板塔结合,西,钢混结构,简装,10列无数据,11列无数据,70年,13列无数据,43786,已购公房,43767,普通住宅,暂无数据,非共有,已上传房本照片,55618,1981,塔楼/板楼/塔板结合,43,12
302,丰台,角门,司达小区,368.0,44310.7,3室1厅1卫,高楼层,83.05,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43633,已购公房,42781,普通住宅,满两年,非共有,已上传房本照片,52163,1980,板楼/塔板结合/平房,27,6
303,昌平,西三旗,旗胜家园,355.0,40153.8,2室1厅1卫,高楼层,88.41,平层,70.73㎡,板塔结合,南,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43734,限价商品房,40611,普通住宅,满五年,非共有,已上传房本照片,44573,2009,塔板结合,18,28
304,昌平,回龙观,新龙城,448.0,52050.7,2室2厅1卫,中楼层,86.07,平层,71.1㎡,板楼,东北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43782,商品房,39573,普通住宅,满五年,非共有,已上传房本照片,50985,2006,板楼/塔板结合,41,15
305,房山,燕山,宏塔社区,140.0,20106.3,3室1厅1卫,高楼层,69.63,平层,无信息,南北,南北,未知结构,简装,70年,11列无数据,12列无数据,13列无数据,43555,商品房,42725,普通住宅,满两年,共有,已上传房本照片,20268,1985,板楼,18,6
306,朝阳,朝阳公园,瞰都国际,970.0,60360.9,4室2厅2卫,中楼层,160.7,平层,122.49㎡,塔楼,西南,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43412,商品房,42682,普通住宅,满两年,非共有,已上传房本照片,75022,2005,塔楼/板楼,7,25
307,丰台,六里桥,京铁家园,420.0,50578.0,2室1厅1卫,中楼层,83.04,平层,无信息,塔楼,西,钢混结构,简装,10列无数据,11列无数据,70年,13列无数据,43804,二类经济适用房,38798,普通住宅,满五年,非共有,已上传房本照片,48148,2002,塔楼/板楼,19,22
308,朝阳,常营,北京新天地五期,347.0,53417.5,1室1厅1卫,低楼层,64.96,平层,49.66㎡,板塔结合,东,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43294,商品房,41865,普通住宅,满五年,非共有,已上传房本照片,53577,2009,塔板结合,6,28
309,丰台,木樨园,马公庄,272.0,53125.0,2室1厅1卫,中楼层,51.2,平层,无信息,板楼,南,混合结构,毛坯,10列无数据,70年,12列无数据,13列无数据,43649,已购公房,41843,普通住宅,满五年,非共有,已上传房本照片,51378,1980,板楼,8,6
310,昌平,鼓楼大街,金隅万科城二期,420.0,46703.0,3室1厅1卫,低楼层,89.93,平层,70.25㎡,板楼,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43882,商品房,42639,普通住宅,满两年,共有,已上传房本照片,43534,2008,板楼/塔板结合/平房,11,15
311,朝阳,常营,柏林爱乐三期,395.0,56012.5,1室1厅1卫,低楼层,70.52,平层,54.41㎡,板楼,东南,钢混结构,其他,10列无数据,11列无数据,12列无数据,70年,43872,商品房,41023,普通住宅,满五年,共有,已上传房本照片,55611,2007,板楼,13,11
312,朝阳,潘家园,松榆里,186.0,46051.0,1室1厅1卫,低楼层,40.39,平层,无信息,板楼,东西,钢混结构,简装,10列无数据,70年,12列无数据,13列无数据,43559,已购公房,43192,普通住宅,暂无数据,非共有,已上传房本照片,58776,1990,塔楼/板楼,35,7
313,丰台,方庄,芳城园一区,525.0,56059.8,3室1厅2卫,低楼层,93.65,平层,无信息,塔楼,西南,钢混结构,简装,10列无数据,11列无数据,70年,13列无数据,43809,商品房,41638,普通住宅,满五年,非共有,已上传房本照片,58258,1989,塔楼/板楼/塔板结合,13,28
314,东城,东直门,东方银座,498.0,86189.0,1室1厅1卫,高楼层,57.78,平层,40.13㎡,塔楼,西,框架结构,简装,10列无数据,11列无数据,12列无数据,70年,43582,商品房,40174,公寓,满五年,非共有,已上传房本照片,74695,2003,塔楼/平房,5,25
315,朝阳,芍药居,芍药居北里,605.0,71092.8,2室1厅1卫,中楼层,85.1,平层,无信息,板塔结合,西,钢混结构,精装,10列无数据,11列无数据,70年,13列无数据,43782,二类经济适用房,43005,普通住宅,满两年,非共有,已上传房本照片,76697,1994,塔楼/板楼/塔板结合,45,28
316,昌平,回龙观,融泽嘉园,470.0,50592.0,2室1厅1卫,低楼层,92.9,平层,69.48㎡,板楼,南北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43701,二类经济适用房,42678,普通住宅,满两年,非共有,已上传房本照片,50827,2013,板楼/塔板结合,47,28
317,大兴,黄村火车站,锦华园,236.0,34952.6,1室1厅1卫,中楼层,67.52,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43640,商品房,41624,普通住宅,满五年,非共有,已上传房本照片,35833,2004,板楼,13,6
318,石景山,古城,古城南里,323.0,42935.0,3室1厅1卫,中楼层,75.23,平层,无信息,塔楼,西北,钢混结构,简装,10列无数据,11列无数据,70年,13列无数据,43703,已购公房,39861,普通住宅,满五年,非共有,已上传房本照片,48046,1983,塔楼/板楼,7,16
319,门头沟,滨河西区,新桥南大街,185.0,27501.1,2室1厅1卫,高楼层,67.27,平层,无信息,板楼,西,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43665,商品房,43570,普通住宅,暂无数据,非共有,已上传房本照片,33407,1980,板楼,17,5
320,昌平,回龙观,新龙城,465.0,45557.0,2室2厅2卫,低楼层,102.07,平层,87.13㎡,板塔结合,南北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43628,商品房,39745,普通住宅,满五年,共有,已上传房本照片,50985,2006,板楼/塔板结合,41,20
321,朝阳,北苑,北苑家园清友园,530.0,43823.4,3室1厅2卫,低楼层,120.94,平层,96.02㎡,塔楼,东南北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43677,商品房,38868,普通住宅,满五年,非共有,已上传房本照片,49329,2000,塔楼/板楼,17,25
322,大兴,西红门,理想家园,278.0,40301.5,2室1厅1卫,高楼层,68.98,平层,55.22㎡,塔楼,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43791,商品房,41759,普通住宅,满五年,非共有,已上传房本照片,32649,2012,塔楼/板楼/塔板结合,12,25
323,门头沟,城子,滨河路87号院,138.0,17806.5,2室1厅1卫,地下室,77.5,平层,无信息,板楼,南北,混合结构,其他,10列无数据,70年,12列无数据,13列无数据,43727,已购公房,40701,普通住宅,满五年,非共有,已上传房本照片,23420,1994,板楼,2,6
324,石景山,八角,石景嘉园,243.0,36524.9,2室1厅1卫,中楼层,66.53,平层,52.79㎡,板塔结合,东北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43786,一类经济适用房,41198,普通住宅,满五年,非共有,已上传房本照片,39492,2010,塔楼,5,15
325,丰台,丰台其它,园博府,880.0,46206.4,4室2厅2卫,低楼层,190.45,平层,149.4㎡,板楼,南北,钢混结构,其他,10列无数据,11列无数据,12列无数据,70年,43700,商品房,42517,普通住宅,满两年,非共有,已上传房本照片,51086,2014,塔楼/板楼,15,18
326,海淀,玉泉路,玉海园三里,507.0,67871.5,2室1厅1卫,中楼层,74.7,平层,无信息,板楼,东西,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43764,一类经济适用房,37707,普通住宅,满五年,非共有,已上传房本照片,68414,1999,塔楼/板楼,28,6
327,顺义,顺义城,义宾南区,219.0,34085.6,2室1厅1卫,中楼层,64.25,平层,无信息,板楼,东西,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43794,商品房,41940,普通住宅,满五年,共有,已上传房本照片,35499,1988,板楼,21,6
328,丰台,刘家窑,南三环中路,285.0,52045.3,1室1厅1卫,低楼层,54.76,平层,无信息,塔楼,南北,钢混结构,简装,10列无数据,11列无数据,70年,13列无数据,43592,已购公房,38197,普通住宅,满五年,非共有,已上传房本照片,51729,1978,塔楼/板楼,15,18
329,亦庄开发区,马驹桥,新海北里,218.0,32522.8,1室1厅1卫,高楼层,67.03,平层,58.18㎡,板楼,南北,混合结构,简装,10列无数据,11列无数据,70年,13列无数据,43740,商品房,40017,普通住宅,满五年,非共有,已上传房本照片,33362,2001,板楼,30,6
330,朝阳,芍药居,芍药居北里,645.0,67759.2,2室1厅1卫,中楼层,95.19,平层,56.75㎡,塔楼,东南北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43775,商品房,38526,普通住宅,满五年,非共有,已上传房本照片,76697,1994,塔楼/板楼/塔板结合,45,24
331,朝阳,亚运村,大屯里小区,510.0,60808.4,2室2厅1卫,中楼层,83.87,平层,70.67㎡,塔楼,东南,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43568,二类经济适用房,39807,普通住宅,满五年,非共有,已上传房本照片,62490,1997,塔楼/板楼,8,28
332,顺义,顺义城,仓上小区,263.0,32903.8,3室2厅1卫,高楼层,79.93,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43792,商品房,38350,普通住宅,满五年,非共有,已上传房本照片,34457,1992,板楼,64,6
333,朝阳,常营,保利嘉园三号院,398.0,45217.0,2室1厅1卫,低楼层,88.02,平层,71.41㎡,塔楼,东南,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43750,限价商品房,40974,普通住宅,满五年,非共有,已上传房本照片,48619,2010,塔楼/塔板结合,18,29
334,朝阳,朝阳门外,雅宝里,439.0,72287.2,2室1厅1卫,低楼层,60.73,平层,无信息,板楼,北南,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43709,已购公房,43698,普通住宅,暂无数据,非共有,已上传房本照片,74137,1977,塔楼/板楼,11,6
335,大兴,枣园,中建国际港,408.0,45775.8,2室1厅1卫,中楼层,89.13,平层,66.75㎡,板楼,南,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43632,商品房,42247,普通住宅,满两年,非共有,已上传房本照片,49250,2013,板楼,10,34
336,朝阳,朝阳门外,三丰里小区,480.0,70484.6,3室1厅1卫,高楼层,68.1,平层,无信息,板楼,南北,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43744,商品房,41949,普通住宅,满五年,非共有,已上传房本照片,73318,1978,塔楼/板楼,30,6
337,西城,广安门,西豪逸景,635.0,79127.7,2室1厅1卫,低楼层,80.25,平层,无信息,塔楼,东南,钢混结构,精装,10列无数据,11列无数据,70年,13列无数据,43759,商品房,40904,普通住宅,满五年,非共有,已上传房本照片,82113,2001,塔楼/板楼,10,28
338,顺义,顺义城,石景苑,320.0,30905.9,2室2厅1卫,中楼层,103.54,平层,86.42㎡,板塔结合,南,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43750,商品房,43689,普通住宅,暂无数据,共有,已上传房本照片,33969,2008,塔楼/板楼/塔板结合,30,15
339,朝阳,定福庄,福盈家园,328.0,44535.0,2室1厅1卫,中楼层,73.65,平层,57.44㎡,板塔结合,南,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43782,限价商品房,41542,普通住宅,满五年,非共有,已上传房本照片,45587,2000,板楼/塔板结合,7,20
340,石景山,苹果园,金福苑,245.0,36550.8,2室1厅1卫,高楼层,67.03,平层,无信息,板楼,南北,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43699,商品房,43487,普通住宅,暂无数据,非共有,已上传房本照片,42945,1995,板楼,9,7
341,丰台,科技园区,富丰路8号院,320.0,43243.2,2室2厅1卫,高楼层,74,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43775,商品房,42933,普通住宅,满两年,共有,已上传房本照片,44515,1999,板楼,4,6
342,朝阳,朝阳公园,亮马水晶,538.0,59257.6,2室1厅1卫,中楼层,90.79,平层,70.79㎡,塔楼,南西南,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43758,商品房,40037,普通住宅,满五年,非共有,已上传房本照片,64933,2003,塔楼/板楼/塔板结合,4,20
343,朝阳,十里堡,十里堡北里,318.0,53490.3,2室1厅1卫,高楼层,59.45,平层,无信息,板楼,南北,钢混结构,简装,10列无数据,70年,12列无数据,13列无数据,43550,已购公房,36990,普通住宅,满五年,非共有,已上传房本照片,56893,1980,塔楼/板楼/塔板结合,29,6
344,丰台,方庄,芳群园四区,455.0,57792.5,3室1厅1卫,低楼层,78.73,平层,无信息,板楼,南北,钢混结构,简装,10列无数据,11列无数据,70年,13列无数据,43706,已购公房,43278,普通住宅,暂无数据,非共有,已上传房本照片,60811,1980,塔楼/板楼/塔板结合,15,18
345,朝阳,常营,苹果派,210.0,29247.9,2室1厅1卫,地下室,71.8,平层,54.62㎡,板楼,南,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43588,商品房,43238,普通住宅,暂无数据,非共有,已上传房本照片,55041,2007,板楼,14,12
346,朝阳,北苑,亚奥金茂悦,730.0,70606.4,2室1厅1卫,低楼层,103.39,平层,85.23㎡,板楼,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43763,商品房,42363,普通住宅,满两年,非共有,已上传房本照片,78339,2013,板楼/塔板结合,13,18
347,房山,韩村河,大自然新城雅苑,123.0,18008.8,1室1厅1卫,中楼层,68.3,平层,59.84㎡,板楼,南北,混合结构,简装,10列无数据,11列无数据,70年,13列无数据,43712,商品房,38868,普通住宅,满五年,非共有,已上传房本照片,16688,2003,板楼,32,6
348,房山,长阳,加州水郡三期,405.0,28858.5,4室2厅2卫,低楼层,140.34,平层,114.67㎡,板塔结合,东南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43767,商品房,40854,普通住宅,满五年,非共有,已上传房本照片,31152,2007,塔楼/板楼/塔板结合,54,12
349,昌平,霍营,华龙苑中里,315.0,50023.8,2室1厅1卫,中楼层,62.97,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43759,商品房,39708,普通住宅,满五年,非共有,已上传房本照片,48461,1990,板楼,30,6
350,通州,万达,北京ONE,710.0,38086.0,3室1厅2卫,低楼层,186.42,平层,145.57㎡,板塔结合,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43787,商品房,43102,普通住宅,满两年,非共有,已上传房本照片,38879,2012,塔板结合,6,26
351,丰台,马家堡,嘉园二里,210.0,36739.0,2室1厅1卫,地下室,57.16,平层,48.84㎡,板楼,南北,砖混结构,简装,10列无数据,11列无数据,70年,13列无数据,43752,已购公房,43732,普通住宅,暂无数据,非共有,已上传房本照片,52762,1996,塔楼/板楼,37,6
352,东城,和平里,和平新城一期,1070.0,95314.4,3室1厅2卫,中楼层,112.26,平层,无信息,板塔结合,南北,钢混结构,精装,10列无数据,11列无数据,70年,13列无数据,43318,商品房,38729,普通住宅,满五年,共有,已上传房本照片,97502,2001,塔板结合,4,19
353,海淀,西二旗,铭科苑,365.0,55303.0,1室1厅1卫,高楼层,66,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43735,商品房,41983,普通住宅,满五年,非共有,已上传房本照片,58964,1996,塔楼/板楼,14,6
354,朝阳,劲松,农光里,355.0,53455.8,2室1厅1卫,低楼层,66.41,平层,无信息,板塔结合,北,钢混结构,简装,10列无数据,11列无数据,70年,13列无数据,43749,商品房,42051,普通住宅,满五年,非共有,已上传房本照片,59800,1973,塔楼/板楼/塔板结合/平房,85,12
355,海淀,马连洼,天秀花园澄秀园,455.0,69796.0,2室1厅1卫,中楼层,65.19,平层,56.23㎡,板楼,东,钢混结构,精装,10列无数据,11列无数据,70年,13列无数据,43800,商品房,41054,普通住宅,满五年,非共有,已上传房本照片,68515,2007,塔楼/板楼,12,6
356,朝阳,朝阳其它,柏阳景园,402.0,32875.4,3室1厅1卫,高楼层,122.28,平层,111.02㎡,板楼,南北,混合结构,简装,10列无数据,11列无数据,70年,13列无数据,43730,二类经济适用房,42535,普通住宅,满两年,非共有,已上传房本照片,41012,2000,板楼,39,5
357,朝阳,望京,望京花园西区,529.0,62038.2,2室2厅2卫,中楼层,85.27,平层,52.16㎡,塔楼,西北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43665,商品房,42339,普通住宅,满两年,共有,已上传房本照片,70196,1999,塔楼/板楼/塔板结合/平房,23,24
